Forward Financial Framework Kaiserslatuarn+ Pareto Curve and Model Results,
Various,Pareto Combination,
Platform,95% CI,Total Time,
Pareto Combination,10.000000,0.187873,
Pareto Combination,9.000000,0.188480,
Pareto Combination,8.000000,0.189304,
Pareto Combination,7.000000,0.190469,
Pareto Combination,6.000000,0.192207,
Pareto Combination,5.000000,0.194990,
Pareto Combination,4.000000,0.199933,
Pareto Combination,3.000000,0.205071,
Pareto Combination,2.000000,0.217809,
Pareto Combination,1.000000,0.268897,
Pareto Combination,0.900000,0.282158,
Pareto Combination,0.800000,0.313630,
Pareto Combination,0.700000,0.327054,
Pareto Combination,0.600000,0.356426,
Pareto Combination,0.500000,0.388531,
Pareto Combination,0.400000,0.477333,
Pareto Combination,0.300000,0.501261,
Pareto Combination,0.200000,0.776691,
ee-snowball0,10.000000,2.951216,
ee-snowball0,9.000000,2.951269,
ee-snowball0,8.000000,2.951342,
ee-snowball0,7.000000,2.951447,
ee-snowball0,6.000000,2.951607,
ee-snowball0,5.000000,2.951868,
ee-snowball0,4.000000,2.952344,
ee-snowball0,3.000000,2.953357,
ee-snowball0,2.000000,2.956212,
ee-snowball0,1.000000,2.971415,
ee-snowball0,0.900000,2.976150,
ee-snowball0,0.800000,2.982765,
ee-snowball0,0.700000,2.992408,
ee-snowball0,0.600000,3.007264,
ee-snowball0,0.500000,3.031911,
ee-snowball0,0.400000,3.077347,
ee-snowball0,0.300000,3.175834,
ee-snowball0,0.200000,3.459538,
ee-mollie,10.000000,0.196053,
ee-mollie,9.000000,0.196709,
ee-mollie,8.000000,0.197600,
ee-mollie,7.000000,0.198863,
ee-mollie,6.000000,0.200751,
ee-mollie,5.000000,0.203785,
ee-mollie,4.000000,0.209188,
ee-mollie,3.000000,0.220456,
ee-mollie,2.000000,0.251463,
ee-mollie,1.000000,0.412161,
ee-mollie,0.900000,0.461659,
ee-mollie,0.800000,0.530587,
ee-mollie,0.700000,0.630730,
ee-mollie,0.600000,0.784427,
ee-mollie,0.500000,1.038367,
ee-mollie,0.400000,1.504167,
ee-mollie,0.300000,2.507275,
ee-mollie,0.200000,5.366666,
ee-benjamin,10.000000,3.496043,
ee-benjamin,9.000000,3.496135,
ee-benjamin,8.000000,3.496261,
ee-benjamin,7.000000,3.496441,
ee-benjamin,6.000000,3.496710,
ee-benjamin,5.000000,3.497146,
ee-benjamin,4.000000,3.497927,
ee-benjamin,3.000000,3.499569,
ee-benjamin,2.000000,3.504123,
ee-benjamin,1.000000,3.527962,
ee-benjamin,0.900000,3.535335,
ee-benjamin,0.800000,3.545614,
ee-benjamin,0.700000,3.560567,
ee-benjamin,0.600000,3.583547,
ee-benjamin,0.500000,3.621572,
ee-benjamin,0.400000,3.691440,
ee-benjamin,0.300000,3.842231,
ee-benjamin,0.200000,4.273478,
